TR.ID,Block,Res.id,Count,Sp,ML,Dil,T0,Sp.rep,Treat
238,E,C.j,34,AA,28.57142857,10000,166666.6667,OD,AN
239,E,C.j,32,AA,28.57142857,10000,166666.6667,VG,AN
240,E,C.j,58,AA,28.57142857,10000,166666.6667,AA,AN
241,E,C.j,40,AA,28.57142857,10000,166666.6667,SR,AN
242,E,C.j,104,AA,28.57142857,10000,166666.6667,PC,AN
243,F,C.k,26,AA,28.57142857,10000,166666.6667,OD,AN
244,F,C.k,60,AA,28.57142857,10000,166666.6667,VG,AN
245,F,C.k,72,AA,28.57142857,10000,166666.6667,AA,AN
246,F,C.k,140,AA,28.57142857,10000,166666.6667,SR,AN
247,F,C.k,54,AA,28.57142857,10000,166666.6667,PC,AN
248,F,C.l,46,AA,28.57142857,10000,166666.6667,OD,AN
249,F,C.l,68,AA,28.57142857,10000,166666.6667,VG,AN
250,F,C.l,68,AA,28.57142857,10000,166666.6667,AA,AN
251,F,C.l,98,AA,28.57142857,10000,166666.6667,SR,AN
252,F,C.l,52,AA,28.57142857,10000,166666.6667,PC,AN
133,A,C.a,346,VG,28.57142857,10000,166666.6667,OD,LA
134,A,C.a,230,VG,28.57142857,10000,166666.6667,VG,LA
135,A,C.a,186,VG,28.57142857,10000,166666.6667,AA,LA
136,A,C.a,166,VG,28.57142857,10000,166666.6667,SR,LA
137,A,C.a,272,VG,28.57142857,10000,166666.6667,PC,LA
138,A,C.b,480,VG,28.57142857,10000,166666.6667,OD,LA
139,A,C.b,276,VG,28.57142857,10000,166666.6667,VG,LA
140,A,C.b,422,VG,28.57142857,10000,166666.6667,AA,LA
141,A,C.b,662,VG,28.57142857,10000,166666.6667,SR,LA
142,A,C.b,424,VG,28.57142857,10000,166666.6667,PC,LA
143,B,C.c,242,VG,28.57142857,10000,166666.6667,OD,LA
144,B,C.c,234,VG,28.57142857,10000,166666.6667,VG,LA
145,B,C.c,166,VG,28.57142857,10000,166666.6667,AA,LA
146,B,C.c,230,VG,28.57142857,10000,166666.6667,SR,LA
147,B,C.c,74,VG,28.57142857,10000,166666.6667,PC,LA
148,B,C.d,250,VG,28.57142857,10000,166666.6667,OD,LA
149,B,C.d,418,VG,28.57142857,10000,166666.6667,VG,LA
150,B,C.d,284,VG,28.57142857,10000,166666.6667,AA,LA
151,B,C.d,224,VG,28.57142857,10000,166666.6667,SR,LA
152,B,C.d,348,VG,28.57142857,10000,166666.6667,PC,LA
153,C,C.e,478,VG,28.57142857,10000,166666.6667,OD,LA
154,C,C.e,348,VG,28.57142857,10000,166666.6667,VG,LA
155,C,C.e,210,VG,28.57142857,10000,166666.6667,AA,LA
156,C,C.e,340,VG,28.57142857,10000,166666.6667,SR,LA
157,C,C.e,420,VG,28.57142857,10000,166666.6667,PC,LA
158,C,C.f,294,VG,28.57142857,10000,166666.6667,OD,LA
159,C,C.f,594,VG,28.57142857,10000,166666.6667,VG,LA
160,C,C.f,286,VG,28.57142857,10000,166666.6667,AA,LA
161,C,C.f,282,VG,28.57142857,10000,166666.6667,SR,LA
162,C,C.f,410,VG,28.57142857,10000,166666.6667,PC,LA
163,D,C.g,390,VG,28.57142857,10000,166666.6667,OD,LA
164,D,C.g,390,VG,28.57142857,10000,166666.6667,VG,LA
165,D,C.g,NA,VG,28.57142857,10000,166666.6667,AA,LA
166,D,C.g,340,VG,28.57142857,10000,166666.6667,SR,LA
167,D,C.g,238,VG,28.57142857,10000,166666.6667,PC,LA
168,D,C.h,306,VG,28.57142857,10000,166666.6667,OD,LA
169,D,C.h,NA,VG,28.57142857,10000,166666.6667,VG,LA
170,D,C.h,376,VG,28.57142857,10000,166666.6667,AA,LA
171,D,C.h,376,VG,28.57142857,10000,166666.6667,SR,LA
172,D,C.h,360,VG,28.57142857,10000,166666.6667,PC,LA
173,E,C.i,264,VG,28.57142857,10000,166666.6667,OD,LA
174,E,C.i,248,VG,28.57142857,10000,166666.6667,VG,LA
175,E,C.i,430,VG,28.57142857,10000,166666.6667,AA,LA
176,E,C.i,612,VG,28.57142857,10000,166666.6667,SR,LA
177,E,C.i,60,VG,28.57142857,10000,166666.6667,PC,LA
