Comm,Sp,Time,Count,Dilution,Dil_fact
Comm11,Aa,T3,138,100000,16.66666667
Comm11,Vg,T3,18,100000,16.66666667
Comm11,Od,T3,66,100000,16.66666667
Comm12,Pc,T3,9,100000,16.66666667
Comm12,Sr,T3,35,100000,16.66666667
Comm12,Aa,T3,137,100000,16.66666667
Comm12,Vg,T3,35,100000,16.66666667
Comm12,Od,T3,120,100000,16.66666667
Comm13,Pc,T3,11,100000,16.66666667
Comm13,Sr,T3,67,100000,16.66666667
Comm13,Aa,T3,91,100000,16.66666667
Comm13,Vg,T3,67,100000,16.66666667
Comm13,Od,T3,86,100000,16.66666667
Comm14,Pc,T3,6,100000,16.66666667
Comm14,Sr,T3,72,100000,16.66666667
Comm14,Aa,T3,127,100000,16.66666667
Comm14,Vg,T3,31,100000,16.66666667
Comm14,Od,T3,62,100000,16.66666667
Comm15,Pc,T3,18,100000,16.66666667
Comm15,Sr,T3,32,100000,16.66666667
Comm15,Aa,T3,121,100000,16.66666667
Comm15,Vg,T3,47,100000,16.66666667
Comm15,Od,T3,69,100000,16.66666667
Comm16,Pc,T3,1,100000,16.66666667
Comm16,Sr,T3,30,100000,16.66666667
Comm16,Aa,T3,162,100000,16.66666667
Comm16,Vg,T3,55,100000,16.66666667
Comm16,Od,T3,85,100000,16.66666667
Comm17,Pc,T3,5,100000,16.66666667
Comm17,Sr,T3,173,100000,16.66666667
Comm17,Aa,T3,172,100000,16.66666667
Comm17,Vg,T3,11,100000,16.66666667
Comm17,Od,T3,62,100000,16.66666667
Comm18,Pc,T3,7,100000,16.66666667
Comm18,Sr,T3,51,100000,16.66666667
Comm18,Aa,T3,95,100000,16.66666667
Comm18,Vg,T3,78,100000,16.66666667
Comm18,Od,T3,61,100000,16.66666667
Comm19,Pc,T3,4,100000,16.66666667
Comm19,Sr,T3,47,100000,16.66666667
Comm19,Aa,T3,142,100000,16.66666667
Comm19,Vg,T3,19,100000,16.66666667
Comm19,Od,T3,82,100000,16.66666667
Comm20,Pc,T3,1,100000,16.66666667
Comm20,Sr,T3,63,100000,16.66666667
Comm20,Aa,T3,171,100000,16.66666667
Comm20,Vg,T3,5,100000,16.66666667
Comm20,Od,T3,56,100000,16.66666667
Comm21,Pc,T3,16,100000,16.66666667
Comm21,Sr,T3,102,100000,16.66666667
Comm21,Aa,T3,84,100000,16.66666667
Comm21,Vg,T3,67,100000,16.66666667
Comm21,Od,T3,56,100000,16.66666667
Comm22,Pc,T3,35,100000,16.66666667
Comm22,Sr,T3,86,100000,16.66666667
Comm22,Aa,T3,130,100000,16.66666667
Comm22,Vg,T3,117,100000,16.66666667
Comm22,Od,T3,86,100000,16.66666667
Comm23,Pc,T3,6,100000,16.66666667
Comm23,Sr,T3,124,100000,16.66666667
Comm23,Aa,T3,99,100000,16.66666667
Comm23,Vg,T3,20,100000,16.66666667
Comm23,Od,T3,67,100000,16.66666667
Comm24,Pc,T3,6,100000,16.66666667
Comm24,Sr,T3,96,100000,16.66666667
Comm24,Aa,T3,74,100000,16.66666667
Comm24,Vg,T3,68,100000,16.66666667
Comm24,Od,T3,80,100000,16.66666667
