SP,OD600
AA,0.047
AA,0.144
AA,0.148
AA,0.151
AA,0.17
AA,0.158
AA,0.148
AA,0.047
AA,0.047
AA,0.152
AA,0.157
AA,0.161
AA,0.179
AA,0.168
AA,0.156
AA,0.048
AA,0.047
AA,0.162
AA,0.167
AA,0.171
AA,0.19
AA,0.179
AA,0.166
AA,0.048
AA,0.047
AA,0.172
AA,0.177
AA,0.182
AA,0.202
AA,0.189
AA,0.176
AA,0.047
AA,0.047
AA,0.183
AA,0.189
AA,0.194
AA,0.214
AA,0.201
AA,0.187
AA,0.047
AA,0.047
AA,0.194
AA,0.201
AA,0.207
AA,0.227
AA,0.216
AA,0.199
AA,0.048
AA,0.047
AA,0.208
